name,description,label
neglect_ready_2cat_f,"SR_5a. Do you need someone to help you get out of bed, get showered, or get dressed?",
neglect_ready_help,SR_5b. Do you have someone who helps with this?,
neglect_ready_help_3cat,SR_5b. Do you have someone who helps with this?,
neglect_ready_help_3cat_f,SR_5b. Do you have someone who helps with this?,
neglect_ready_reliable,SR_5c. How reliable would you say (that person/these people) is/are? Would you say they are… (READ LIST),
neglect_ready_reliable_4cat,SR_5c. How reliable would you say (that person/these people) is/are? Would you say they are… (READ LIST),
neglect_ready_reliable_4cat_f,SR_5c. How reliable would you say (that person/these people) is/are? Would you say they are… (READ LIST),
neglect_bills,SR_6a. Do you need someone to make sure your bills get paid?,
neglect_bills_2cat,SR_6a. Do you need someone to make sure your bills get paid?,
neglect_bills_2cat_f,SR_6a. Do you need someone to make sure your bills get paid?,
neglect_bills_help,SR_6b. Do you have someone who helps with this?,
neglect_bills_help_3cat,SR_6b. Do you have someone who helps with this?,
neglect_bills_help_3cat_f,SR_6b. Do you have someone who helps with this?,
neglect_bills_reliable,SR_6c. How reliable would you say (that person/these people) is/are? Would you say they are… (READ LIST),
neglect_bills_reliable_4cat,SR_6c. How reliable would you say (that person/these people) is/are? Would you say they are… (READ LIST),
neglect_bills_reliable_4cat_f,SR_6c. How reliable would you say (that person/these people) is/are? Would you say they are… (READ LIST),
neglect_person,"SR_7. Considering all the things that we just talked about, who is the person who is supposed to help you with these things most of the time? (MULTIPLE RECORD)",
neglect_person_spouse,"Dummy variable derived from neglect_person for value of 'A spouse or partner' as response to the question - SR_7. Considering all the things that we just talked about, who is the person who is supposed to help you with these things most of the time? (MULTIPLE RECORD)",
neglect_person_ex_partner,"Dummy variable derived from neglect_person for value of 'An ex spouse or partner' as response to the question - SR_7. Considering all the things that we just talked about, who is the person who is supposed to help you with these things most of the time? (MULTIPLE RECORD)",
neglect_person_parent,"Dummy variable derived from neglect_person for value of 'A parent or step-parent' as response to the question - SR_7. Considering all the things that we just talked about, who is the person who is supposed to help you with these things most of the time? (MULTIPLE RECORD)",
neglect_person_sibling,"Dummy variable derived from neglect_person for value of 'A brother or sister' as response to the question - SR_7. Considering all the things that we just talked about, who is the person who is supposed to help you with these things most of the time? (MULTIPLE RECORD)",
neglect_person_child,"Dummy variable derived from neglect_person for value of 'A son or daughter' as response to the question - SR_7. Considering all the things that we just talked about, who is the person who is supposed to help you with these things most of the time? (MULTIPLE RECORD)",
neglect_person_other_relative,"Dummy variable derived from neglect_person for value of 'Another relative' as response to the question - SR_7. Considering all the things that we just talked about, who is the person who is supposed to help you with these things most of the time? (MULTIPLE RECORD)",
neglect_person_coworker,"Dummy variable derived from neglect_person for value of 'A coworker' as response to the question - SR_7. Considering all the things that we just talked about, who is the person who is supposed to help you with these things most of the time? (MULTIPLE RECORD)",
neglect_person_neighbor,"Dummy variable derived from neglect_person for value of 'A neighbor' as response to the question - SR_7. Considering all the things that we just talked about, who is the person who is supposed to help you with these things most of the time? (MULTIPLE RECORD)",
neglect_person_friend,"Dummy variable derived from neglect_person for value of 'A friend' as response to the question - SR_7. Considering all the things that we just talked about, who is the person who is supposed to help you with these things most of the time? (MULTIPLE RECORD)",
neglect_person_non_relative,"Dummy variable derived from neglect_person for value of 'Some other non-relative' as response to the question - SR_7. Considering all the things that we just talked about, who is the person who is supposed to help you with these things most of the time? (MULTIPLE RECORD)",
neglect_person_dont_know,"Dummy variable derived from neglect_person for value of 'Don't know' as response to the question - SR_7. Considering all the things that we just talked about, who is the person who is supposed to help you with these things most of the time? (MULTIPLE RECORD)",
neglect_person_refused,"Dummy variable derived from neglect_person for value of 'Refused' as response to the question - SR_7. Considering all the things that we just talked about, who is the person who is supposed to help you with these things most of the time? (MULTIPLE RECORD)",
finance_help,"SR_8. Is there someone who helps you take care of your finances, or is there someone other than yourself who makes decisions about your money and your property, either with or without your approval?",
finance_help_2cat,"SR_8. Is there someone who helps you take care of your finances, or is there someone other than yourself who makes decisions about your money and your property, either with or without your approval?",
finance_help_2cat_f,"SR_8. Is there someone who helps you take care of your finances, or is there someone other than yourself who makes decisions about your money and your property, either with or without your approval?",
finance_person,SR_9. What is that person’s relationship to you? (MULTIPLE RECORD),
finance_person_spouse,Dummy variable derived from finance_person for value of 'A spouse or partner' as response to the question - SR_9. What is that person’s relationship to you? (MULTIPLE RECORD),
finance_person_ex_partner,Dummy variable derived from finance_person for value of 'An ex spouse or partner' as response to the question - SR_9. What is that person’s relationship to you? (MULTIPLE RECORD),
finance_person_parent,Dummy variable derived from finance_person for value of 'A parent or step-parent' as response to the question - SR_9. What is that person’s relationship to you? (MULTIPLE RECORD),
finance_person_sibling,Dummy variable derived from finance_person for value of 'A brother or sister' as response to the question - SR_9. What is that person’s relationship to you? (MULTIPLE RECORD),
finance_person_child,Dummy variable derived from finance_person for value of 'A son or daughter' as response to the question - SR_9. What is that person’s relationship to you? (MULTIPLE RECORD),
finance_person_other_relative,Dummy variable derived from finance_person for value of 'Another relative' as response to the question - SR_9. What is that person’s relationship to you? (MULTIPLE RECORD),
finance_person_coworker,Dummy variable derived from finance_person for value of 'A coworker' as response to the question - SR_9. What is that person’s relationship to you? (MULTIPLE RECORD),
finance_person_neighbor,Dummy variable derived from finance_person for value of 'A neighbor' as response to the question - SR_9. What is that person’s relationship to you? (MULTIPLE RECORD),
finance_person_friend,Dummy variable derived from finance_person for value of 'A friend' as response to the question - SR_9. What is that person’s relationship to you? (MULTIPLE RECORD),
finance_person_non_relative,Dummy variable derived from finance_person for value of 'Some other non-relative' as response to the question - SR_9. What is that person’s relationship to you? (MULTIPLE RECORD),
finance_person_dont_know,Dummy variable derived from finance_person for value of 'Don't know' as response to the question - SR_9. What is that person’s relationship to you? (MULTIPLE RECORD),
finance_person_refused,Dummy variable derived from finance_person for value of 'Refused' as response to the question - SR_9. What is that person’s relationship to you? (MULTIPLE RECORD),
finance_person_permission,SR_10. Does that person usually ask for your permission before deciding to spend your money or sell your property?,
finance_person_permission_2cat,SR_10. Does that person usually ask for your permission before deciding to spend your money or sell your property?,
finance_person_permission_2cat_f,SR_10. Does that person usually ask for your permission before deciding to spend your money or sell your property?,
finance_person_decisions,SR_11. Do you feel like that person usually makes good decisions about your finances?,
finance_person_decisions_2cat,SR_11. Do you feel like that person usually makes good decisions about your finances?,
finance_person_decisions_2cat_f,SR_11. Do you feel like that person usually makes good decisions about your finances?,
finance_copies,SR_12. Do you have the copies of paperwork for the financial decisions they make or can you get copies if you wanted them?,
finance_copies_2cat,SR_12. Do you have the copies of paperwork for the financial decisions they make or can you get copies if you wanted them?,
finance_copies_2cat_f,SR_12. Do you have the copies of paperwork for the financial decisions they make or can you get copies if you wanted them?,
finance_person_forged,SR_13. Has that person ever forged your signature without your permission in order to sell your property or to get money from your accounts?,
finance_person_forged_2cat,SR_13. Has that person ever forged your signature without your permission in order to sell your property or to get money from your accounts?,
finance_person_forged_2cat_f,SR_13. Has that person ever forged your signature without your permission in order to sell your property or to get money from your accounts?,
finance_person_tricked,SR_14. Has that person ever forced or tricked you into signing a document so that they would be able to get some of your money or possessions?,
finance_person_tricked_2cat,SR_14. Has that person ever forced or tricked you into signing a document so that they would be able to get some of your money or possessions?,
finance_person_tricked_2cat_f,SR_14. Has that person ever forced or tricked you into signing a document so that they would be able to get some of your money or possessions?,
finance_person_stolen,"SR_15. Has that person, or anyone else you are close to, ever stolen your money or take your things for themselves, their friends, or to sell?",
finance_person_stolen_2cat,"SR_15. Has that person, or anyone else you are close to, ever stolen your money or take your things for themselves, their friends, or to sell?",
finance_person_stolen_2cat_f,"SR_15. Has that person, or anyone else you are close to, ever stolen your money or take your things for themselves, their friends, or to sell?",
finance_stranger_permission,SR_16. Has a stranger ever spent your money or sold your property without your permission?,
finance_stranger_permission_2cat,SR_16. Has a stranger ever spent your money or sold your property without your permission?,
finance_stranger_permission_2cat_f,SR_16. Has a stranger ever spent your money or sold your property without your permission?,
finance_stranger_forged,SR_17. Has a stranger ever forged your signature in order to get some of your money or sell your property?,
finance_stranger_forged_2cat,SR_17. Has a stranger ever forged your signature in order to get some of your money or sell your property?,
finance_stranger_forged_2cat_f,SR_17. Has a stranger ever forged your signature in order to get some of your money or sell your property?,
finance_stranger_tricked,SR_18. Has a stranger ever forced or tricked you into signing a document so that they would be able to get some of your money or possessions?,
finance_stranger_tricked_2cat,SR_18. Has a stranger ever forced or tricked you into signing a document so that they would be able to get some of your money or possessions?,
finance_stranger_tricked_2cat_f,SR_18. Has a stranger ever forced or tricked you into signing a document so that they would be able to get some of your money or possessions?,
emotional_yelled,"SR_19a. Has anyone ever verbally attacked, scolded, or yelled at you so that you felt afraid for your safety, threatened or intimidated?",
emotional_yelled_2cat,"SR_19a. Has anyone ever verbally attacked, scolded, or yelled at you so that you felt afraid for your safety, threatened or intimidated?",
emotional_yelled_2cat_f,"SR_19a. Has anyone ever verbally attacked, scolded, or yelled at you so that you felt afraid for your safety, threatened or intimidated?",
emotional_yelled_times,SR_19b. About how many times has this happened to you in your lifetime?,
emotional_yelled_times_5cat,SR_19b. About how many times has this happened to you in your lifetime?,
emotional_yelled_times_5cat_f,SR_19b. About how many times has this happened to you in your lifetime?,
emotional_yelled_age,How old were you when this happened (most recently)? (Question from earlier version of the follow-up interview.),
emotional_embarrassed,"SR_20a. Has anyone ever made you feel humiliated or embarrassed by calling you names such as stupid, or telling you that you or your opinion was worthless?",
emotional_embarrassed_2cat,"SR_20a. Has anyone ever made you feel humiliated or embarrassed by calling you names such as stupid, or telling you that you or your opinion was worthless?",
emotional_embarrassed_2cat_f,"SR_20a. Has anyone ever made you feel humiliated or embarrassed by calling you names such as stupid, or telling you that you or your opinion was worthless?",
emotional_embarrassed_times,SR_20b. About how many times has this happened to you in your lifetime?,
emotional_embarrassed_times_5cat,SR_20b. About how many times has this happened to you in your lifetime?,
emotional_embarrassed_times_5cat_f,SR_20b. About how many times has this happened to you in your lifetime?,
emotional_embarrassed_age,How old were you when this happened (most recently)? (Question from earlier version of the follow-up interview.),
emotional_harassed,SR_21a. Has anyone ever forcefully or repeatedly asked you to do something so much that you felt harassed or coerced into doing something against your will?,
emotional_harassed_2cat,SR_21a. Has anyone ever forcefully or repeatedly asked you to do something so much that you felt harassed or coerced into doing something against your will?,
emotional_harassed_2cat_f,SR_21a. Has anyone ever forcefully or repeatedly asked you to do something so much that you felt harassed or coerced into doing something against your will?,
emotional_harassed_times,SR_21b. About how many times has this happened to you in your lifetime?,
emotional_harassed_times_5cat,SR_21b. About how many times has this happened to you in your lifetime?,
emotional_harassed_times_5cat_f,SR_21b. About how many times has this happened to you in your lifetime?,
emotional_harassed_age,How old were you when this happened (most recently)? (Question from earlier version of the follow-up interview.),
emotional_refused,"SR_22a. Has anyone close to you ever completely refused to talk to you or ignored you for days at a time, even when you wanted to talk to them?",
emotional_refused_2cat,"SR_22a. Has anyone close to you ever completely refused to talk to you or ignored you for days at a time, even when you wanted to talk to them?",
emotional_refused_2cat_f,"SR_22a. Has anyone close to you ever completely refused to talk to you or ignored you for days at a time, even when you wanted to talk to them?",
emotional_refused_times,SR_22b. About how many times has this happened to you in your lifetime?,
emotional_refused_times_5cat,SR_22b. About how many times has this happened to you in your lifetime?,
emotional_refused_times_5cat_f,SR_22b. About how many times has this happened to you in your lifetime?,
emotional_refused_age,How old were you when this happened (most recently)? (Question from earlier version of the follow-up interview.),
emotional_incident_reported,"Thinking about the most recent incident where someone emotionally or verbally mistreated you, was this incident reported to the police or other authorities? (Question used in older version of the follow-up interview until 06/18/2020.)",
emotional_incident_reported_2cat,"Thinking about the most recent incident where someone emotionally or verbally mistreated you, was this incident reported to the police or other authorities? (Question used in older version of the follow-up interview until 06/18/2020.)",
emotional_incident_reported_2cat_f,"Thinking about the most recent incident where someone emotionally or verbally mistreated you, was this incident reported to the police or other authorities? (Question used in older version of the follow-up interview until 06/18/2020.)",
emotional_incident_person,What was that person's (those persons') relationship to you (MULTIPLE RECORD)? (Question used in older version of the follow-up interview until 06/17/20.),
emotional_person_spouse,Dummy variable derived from emotional_incident_person for value of 'A spouse or partner' as response to the question -  What was that person's (those persons') relationship to you (MULTIPLE RECORD)? (Question used in older version of the follow-up interview until 06/17/20.),
emotional_person_ex_partner,Dummy variable derived from emotional_incident_person for value of 'An ex spouse or partner' as response to the question -  What was that person's (those persons') relationship to you (MULTIPLE RECORD)? (Question used in older version of the follow-up interview until 06/17/20.),
emotional_person_parent,Dummy variable derived from emotional_incident_person for value of 'A parent or step-parent' as response to the question -  What was that person's (those persons') relationship to you (MULTIPLE RECORD)? (Question used in older version of the follow-up interview until 06/17/20.),
emotional_person_sibling,Dummy variable derived from emotional_incident_person for value of 'A brother or sister' as response to the question -  What was that person's (those persons') relationship to you (MULTIPLE RECORD)? (Question used in older version of the follow-up interview until 06/17/20.),
emotional_person_child,Dummy variable derived from emotional_incident_person for value of 'A son or daughter' as response to the question -  What was that person's (those persons') relationship to you (MULTIPLE RECORD)? (Question used in older version of the follow-up interview until 06/17/20.),
emotional_person_other_relative,Dummy variable derived from emotional_incident_person for value of 'Another relative' as response to the question -  What was that person's (those persons') relationship to you (MULTIPLE RECORD)? (Question used in older version of the follow-up interview until 06/17/20.),
emotional_person_coworker,Dummy variable derived from emotional_incident_person for value of 'A coworker' as response to the question -  What was that person's (those persons') relationship to you (MULTIPLE RECORD)? (Question used in older version of the follow-up interview until 06/17/20.),
emotional_person_neighbor,Dummy variable derived from emotional_incident_person for value of 'A neighbor' as response to the question -  What was that person's (those persons') relationship to you (MULTIPLE RECORD)? (Question used in older version of the follow-up interview until 06/17/20.),
emotional_person_friend,Dummy variable derived from emotional_incident_person for value of 'A friend' as response to the question -  What was that person's (those persons') relationship to you (MULTIPLE RECORD)? (Question used in older version of the follow-up interview until 06/17/20.),
emotional_person_non_relative,Dummy variable derived from emotional_incident_person for value of 'Some other non-relative' as response to the question -  What was that person's (those persons') relationship to you (MULTIPLE RECORD)? (Question used in older version of the follow-up interview until 06/17/20.),
emotional_person_dont_know,Dummy variable derived from emotional_incident_person for value of 'Don't know' as response to the question -  What was that person's (those persons') relationship to you (MULTIPLE RECORD)? (Question used in older version of the follow-up interview until 06/17/20.),
emotional_person_refused,Dummy variable derived from emotional_incident_person for value of 'Refused' as response to the question -  What was that person's (those persons') relationship to you (MULTIPLE RECORD)? (Question used in older version of the follow-up interview until 06/17/20.),
emotional_person_live,"Did that person live with you at the time of the incident, or does (he/she) live with you now? (Question used in older version of the follow-up interview.)",
emotional_person_live_2cat,"Did that person live with you at the time of the incident, or does (he/she) live with you now? (Question used in older version of the follow-up interview until 06/18/2020.)",
emotional_person_live_2cat_f,"Did that person live with you at the time of the incident, or does (he/she) live with you now? (Question used in older version of the follow-up interview.)",
emotional_person_alcohol,SR_27. Did that person have a problem with alcohol or drugs when these things happened?,
emotional_person_alcohol_2cat,SR_27. Did that person have a problem with alcohol or drugs when these things happened?,
emotional_person_alcohol_2cat_f,SR_27. Did that person have a problem with alcohol or drugs when these things happened?,
emotional_person_counseling,SR_28. Has that person ever received inpatient or outpatient counseling for emotional problems?,
emotional_person_counseling_2cat,SR_28. Has that person ever received inpatient or outpatient counseling for emotional problems?,
emotional_person_counseling_2cat_f,SR_28. Has that person ever received inpatient or outpatient counseling for emotional problems?,
emotional_person_police,SR_29. Has that person ever been in trouble with the police?,
emotional_person_police_2cat,SR_29. Has that person ever been in trouble with the police?,
emotional_person_police_2cat_f,SR_29. Has that person ever been in trouble with the police?,
emotional_person_job,SR_30. Did that person have a job at the time when these things happened?,
emotional_person_job_2cat,SR_30. Did that person have a job at the time when these things happened?,
emotional_person_job_2cat_f,SR_30. Did that person have a job at the time when these things happened?,
emotional_person_friends,SR_31. How many friends did that person have at the time when these things happened? Would you say…,
emotional_person_friends_4cat,SR_31. How many friends did that person have at the time when these things happened? Would you say…,
emotional_person_friends_4cat_f,SR_31. How many friends did that person have at the time when these things happened? Would you say…,
emotional_person_help,"SR_32. Did that person ever help you out with any day to day things, like shopping, taking medicines, driving you places, getting dressed, and that type of thing?",
emotional_person_help_2cat,"SR_32. Did that person ever help you out with any day to day things, like shopping, taking medicines, driving you places, getting dressed, and that type of thing?",
emotional_person_help_2cat_f,"SR_32. Did that person ever help you out with any day to day things, like shopping, taking medicines, driving you places, getting dressed, and that type of thing?",
emotional_person_no_live,SR_33. Would you be able to live on your own if that person no longer lived with you?,
emotional_person_no_live_2cat,SR_33. Would you be able to live on your own if that person no longer lived with you?,
emotional_person_no_live_2cat_f,SR_33. Would you be able to live on your own if that person no longer lived with you?,
physical_hit,"SR_34a. Has anyone ever hit you with their hand or object, slapped you, or threatened you with a weapon?",
physical_hit_2cat,"SR_34a. Has anyone ever hit you with their hand or object, slapped you, or threatened you with a weapon?",
physical_hit_2cat_f,"SR_34a. Has anyone ever hit you with their hand or object, slapped you, or threatened you with a weapon?",
physical_hit_times,SR_34b. About how many times has this happened to you in your lifetime?,
physical_hit_times_5cat,SR_34b. About how many times has this happened to you in your lifetime?,
physical_hit_times_5cat_f,SR_34b. About how many times has this happened to you in your lifetime?,
physical_hit_age,How old were you when this happened (most recently)? (Question used in older version of the follow-up interview.),
physical_restrain,"SR_35a. Has anyone ever tried to restrain you by holding you down, tying you up, or locking you in your room or house?",
physical_restrain_2cat,"SR_35a. Has anyone ever tried to restrain you by holding you down, tying you up, or locking you in your room or house?",
physical_restrain_2cat_f,"SR_35a. Has anyone ever tried to restrain you by holding you down, tying you up, or locking you in your room or house?",
physical_restrain_times,SR_35b. About how many times has this happened to you in your lifetime?,
physical_restrain_times_5cat,SR_35b. About how many times has this happened to you in your lifetime?,
physical_restrain_times_5cat_f,SR_35b. About how many times has this happened to you in your lifetime?,
physical_restrain_age,How old were you when this happened (most recently)? (Question used in older version of the follow-up interview.),
physical_hurt,"SR_36a. Has anyone ever physically hurt you so that you suffered some degree of injury, including cuts, bruises, or other marks?",
physical_hurt_2cat,"SR_36a. Has anyone ever physically hurt you so that you suffered some degree of injury, including cuts, bruises, or other marks?",
physical_hurt_2cat_f,"SR_36a. Has anyone ever physically hurt you so that you suffered some degree of injury, including cuts, bruises, or other marks?",
physical_hurt_times,SR_36b. About how many times has this happened to you in your lifetime?,
physical_hurt_times_5cat,SR_36b. About how many times has this happened to you in your lifetime?,
physical_hurt_times_5cat_f,SR_36b. About how many times has this happened to you in your lifetime?,
physical_hurt_age,How old were you when this happened (most recently)? (Question used in older version of the follow-up interview.),
physical_incident_60,(Did this/Have any of these) incidents (happen/happened) since you were 60 years old? (Question used in older version of the follow-up interview until 06/18/2020.),
physical_incident_60_2cat,(Did this/Have any of these) incidents (happen/happened) since you were 60 years old? (Question used in older version of the follow-up interview until 06/18/20.),
physical_incident_60_2cat_f,(Did this/Have any of these) incidents (happen/happened) since you were 60 years old? (Question used in older version of the follow-up interview until 06/18/2020.),
physical_incident_reported,"Thinking about the most recent incident where someone physically mistreated you, was this incident reported to the police or other authorities? (Question used in older version of the follow-up interview until 06/18/2020.)",
physical_incident_reported_2cat,"Thinking about the most recent incident where someone physically mistreated you, was this incident reported to the police or other authorities? (Question used in older version of the follow-up interview until 06/18/2020.)",
physical_incident_reported_2cat_f,"Thinking about the most recent incident where someone physically mistreated you, was this incident reported to the police or other authorities? (Question used in older version of the follow-up interview until 06/18/2020.)",
physical_incident_person,"Thinking about the most recent incident, was the person(s) who physically mistreated you someone you have seen before? (Question used in older version of the follow-up interview until 06/18/2020.)",
physical_person_stranger,Dummy variable derived from physical_person for value of 'A stranger' as response to the question - What was that person's (those persons') relationship to you (MULTIPLE RECORD)? (Question used in older version of the follow-up interview until 06/18/2020.),
physical_person_spouse,Dummy variable derived from physical_person for value of 'A spouse or partner' as response to the question - What was that person's (those persons') relationship to you (MULTIPLE RECORD)? (Question used in older version of the follow-up interview until 06/18/2020.),
physical_person_ex_partner,Dummy variable derived from physical_person for value of 'An ex spouse or partner' as response to the question - What was that person's (those persons') relationship to you (MULTIPLE RECORD)? (Question used in older version of the follow-up interview until 06/18/2020.),
physical_person_parent,Dummy variable derived from physical_person for value of 'A parent or step-parent' as response to the question - What was that person's (those persons') relationship to you (MULTIPLE RECORD)? (Question used in older version of the follow-up interview until 06/18/2020.),
physical_person_sibling,Dummy variable derived from physical_person for value of 'A brother or sister' as response to the question - What was that person's (those persons') relationship to you (MULTIPLE RECORD)? (Question used in older version of the follow-up interview until 06/18/2020.),
physical_person_child,Dummy variable derived from physical_person for value of 'A son or daughter' as response to the question - What was that person's (those persons') relationship to you (MULTIPLE RECORD)? (Question used in older version of the follow-up interview until 06/18/2020.),
physical_person_other_relative,Dummy variable derived from physical_person for value of 'Another relative' as response to the question - What was that person's (those persons') relationship to you (MULTIPLE RECORD)? (Question used in older version of the follow-up interview until 06/18/2020.),
physical_person_coworker,Dummy variable derived from physical_person for value of 'A coworker' as response to the question - What was that person's (those persons') relationship to you (MULTIPLE RECORD)? (Question used in older version of the follow-up interview until 06/18/2020.),
physical_person_neighbor,Dummy variable derived from physical_person for value of 'A neighbor' as response to the question - What was that person's (those persons') relationship to you (MULTIPLE RECORD)? (Question used in older version of the follow-up interview until 06/18/2020.),
physical_person_friend,Dummy variable derived from physical_person for value of 'A friend' as response to the question - What was that person's (those persons') relationship to you (MULTIPLE RECORD)? (Question used in older version of the follow-up interview until 06/18/2020.),
physical_person_non_relative,Dummy variable derived from physical_person for value of 'Some other non-relative' as response to the question - What was that person's (those persons') relationship to you (MULTIPLE RECORD)? (Question used in older version of the follow-up interview until 06/18/2020.),
physical_person_dont_know,Dummy variable derived from physical_person for value of 'Don't know' as response to the question - What was that person's (those persons') relationship to you (MULTIPLE RECORD)? (Question used in older version of the follow-up interview until 06/18/2020.),
physical_person_refused,Dummy variable derived from physical_person for value of 'Refused' as response to the question - What was that person's (those persons') relationship to you (MULTIPLE RECORD)? (Question used in older version of the follow-up interview until 06/18/2020.),
physical_incident_person_2cat,"Thinking about the most recent incident, was the person(s) who physically mistreated you someone you have seen before? (Question used in older version of the follow-up interview until 6/18/2020.)",
physical_incident_person_2cat_f,"Thinking about the most recent incident, was the person(s) who physically mistreated you someone you have seen before? (Question used in older version of the follow-up interview until 06/18/2020.)",
physical_person,What was that person's (those persons') relationship to you (MULTIPLE RECORD)? (Question used in older version of the follow-up interview until 06/18/2020.),
physical_person_live,"Did that person live with you at the time of the incident, or does (he/she) live with you now? (Question used in older version of the follow-up interview until 06/18/2020.)",
physical_person_live_2cat,"Did that person live with you at the time of the incident, or does (he/she) live with you now? (Question used in older version of the follow-up interview until 06/18/2020.)",
physical_person_live_2cat_f,"Did that person live with you at the time of the incident, or does (he/she) live with you now? (Question used in older version of the follow-up interview until 06/18/2020.)",
physical_person_alcohol,SR_42. Did that person have a problem with alcohol or drugs at the time when these things happened?,
physical_person_alcohol_2cat,SR_42. Did that person have a problem with alcohol or drugs at the time when these things happened?,
physical_person_alcohol_2cat_f,SR_42. Did that person have a problem with alcohol or drugs at the time when these things happened?,
physical_person_counseling,SR_43. Has that person ever received inpatient or outpatient counseling for emotional problems?,
physical_person_counseling_2cat,SR_43. Has that person ever received inpatient or outpatient counseling for emotional problems?,
physical_person_counseling_2cat_f,SR_43. Has that person ever received inpatient or outpatient counseling for emotional problems?,
physical_person_police,SR_44. Has that person ever been in trouble with the police?,
physical_person_police_2cat,SR_44. Has that person ever been in trouble with the police?,
