var,label
disabled,Disabled or unable to work
other,Something else
sode_income_7cat_f,Household income
inc_10,"$10,000 or less"
inc_20,"Between $10,001 and $20,000"
inc_35,"Between $20,001 and $35,000"
inc_50,"Between $35,001 and $50,000"
inc_75,"Between $50,001 and $75,000"
inc_100,"Between $75,001 and $100,000"
inc_above_100,"More than $100,000"
sode_military_2cat_f,Ever military service
sex_2cat_f,Sex
female,Female
male,Male
age_65_74,Age 65 to 74
age_75_84,Age 75 to 84
age_85_94,Age 85 to 94
age_95,Age 95 and older
